"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000221866",847.493946021912,2.6073253039226,0.171155601561722,15.1081616514284,1.43075887485552e-51,5.66707693009438e-49
"ENSG00000100242",2236.2383212374,1.81353274206021,0.119789506173598,15.1043849038142,1.51513634862409e-51,5.87082397345126e-49
"ENSG00000102804",5397.33684521952,1.18757094065629,0.0787343288288956,15.0863595404689,1.991302294795e-51,7.55169619200553e-49
"ENSG00000060718",363.762294004358,2.30482247834753,0.153338702180089,15.0177453994723,5.61865089019883e-51,2.08639236389383e-48
"ENSG00000099337",530.060485021926,2.57577185585951,0.170703436187548,14.9737384386944,1.0901688663246e-50,3.96554487211624e-48
"ENSG00000157150",167.615505683076,2.75083539946346,0.181853378404823,14.9561734634842,1.41957165239844e-50,5.06048902646995e-48
"ENSG00000126803",449.17684817333,2.34402822267002,0.155913907978895,14.948813900859,1.58547948422041e-50,5.54109535818521e-48
"ENSG00000133142",3055.97384805426,1.51025588170255,0.101678975192964,14.8488216333909,7.08022538803125e-50,2.42688340992825e-47
"ENSG00000138316",799.568584106461,-2.36915382704593,0.160662946042113,-14.8059097914996,1.34159415234738e-49,4.51180644744144e-47
"ENSG00000131389",740.410803126942,-2.04553316255149,0.139848428492785,-14.6217342300838,2.04133538339507e-48,6.73791886548772e-46
"ENSG00000103196",3082.06913512982,2.49439060148082,0.170203384408547,14.6030737906434,2.68463132737612e-48,8.70015795984582e-46
"ENSG00000163171",1357.57154103081,1.47707597622794,0.101199092645695,14.5932788023214,3.0993648266092e-48,9.86483547669328e-46
"ENSG00000152268",1597.83892249109,1.84353593889909,0.127090471092774,14.5783764125741,3.85577953453714e-48,1.20570902497526e-45
"ENSG00000168309",159.526919764023,3.97546024038186,0.255793793994594,14.5738089970425,4.12249573079507e-48,1.26688558458089e-45
"ENSG00000124440",197.043622803841,2.39138101002424,0.163212001302732,14.5523234336979,5.64525953166421e-48,1.70544247275225e-45
"ENSG00000103742",370.82982255279,-2.08798932488954,0.144706958721653,-14.4596901722406,2.17775901748308e-47,6.46939612126972e-45
"ENSG00000141401",627.527233035192,2.22569443960267,0.153599395409101,14.4541471096749,2.36035448698207e-47,6.89687842228991e-45
"ENSG00000112837",2754.96812806571,-1.77872266053532,0.123859330554945,-14.3796737674106,6.94210104181468e-47,1.99574208015008e-44
"ENSG00000164647",1920.71012986285,1.53372615401926,0.107070214996969,14.3289352521,1.44316223262433e-46,4.08300375147555e-44
"ENSG00000068383",1247.24185187194,1.35837073663696,0.0951956111834743,14.2630714494502,3.717267961687e-46,1.03525912732983e-43
"ENSG00000156675",1631.87785808313,1.51376013190829,0.107061141671154,14.1400334814581,2.15181987062122e-45,5.90062113445426e-43
"ENSG00000136999",435.712716722131,-2.40896882834167,0.171999676642263,-13.9510625818827,3.09952838091461e-44,8.37060513051848e-42
"ENSG00000206538",12754.9476812811,1.34192402934342,0.096315342309419,13.9442915689364,3.4081528476651e-44,9.06670393384817e-42
"ENSG00000227051",4615.74006753287,-1.13698661919825,0.0815760037657738,-13.9397227259784,3.63349034549213e-44,9.52401939971348e-42
"ENSG00000196517",229.640742740425,-2.12836409584071,0.153023630342202,-13.8501024975449,1.27030699092087e-43,3.28144229074979e-41
"ENSG00000124762",8020.52881680403,-0.998339378369443,0.0721375483050012,-13.8405901554374,1.45011131403552e-43,3.69239772305272e-41
"ENSG00000134363",2906.3410530882,-1.75025183882121,0.127035180931727,-13.7988635356148,2.58901978461096e-43,6.49953361139517e-41
"ENSG00000149218",2027.18573134681,1.86337340533131,0.135643576779693,13.7116046977286,8.65228492519815e-43,2.14192120148239e-40
"ENSG00000109906",385.071028862516,4.84335133249268,0.331144188221626,13.7076099796304,9.14198752723054e-43,2.23214774911448e-40
"ENSG00000163378",1805.28931002148,1.24286076810856,0.0908513118614343,13.6781906615497,1.37060835009621e-42,3.30131395028578e-40
"ENSG00000185432",3885.6492404017,2.15312485257054,0.157127152024473,13.6474726641219,2.09002147971294e-42,4.96700571392046e-40
"ENSG00000167641",231.671616289766,2.6560162350833,0.194337417127229,13.6227270969765,2.93403452954748e-42,6.88108308613872e-40
"ENSG00000196975",4908.8181516426,1.16946806976406,0.0858704034435654,13.6151866024076,3.25313770880912e-42,7.53038006776801e-40
"ENSG00000106484",677.213238740759,-1.79483627852272,0.132554590958,-13.5738152538512,5.72621058436597e-42,1.30851253148383e-39
"ENSG00000126016",386.415162103212,-2.23469148707096,0.165266802668388,-13.5472744499261,8.22269671683209e-42,1.85520691494703e-39
"ENSG00000151726",1460.17800298032,1.56301434725049,0.115485342754657,13.5322225832172,1.00925404643577e-41,2.24861801545891e-39
"ENSG00000130513",451.004765299293,-1.80089462766783,0.133439159196572,-13.4985974728091,1.59381423221244e-41,3.50717837962402e-39
"ENSG00000150907",678.868174958036,2.12979041996444,0.157239106495819,13.4920807882932,1.74116185035047e-41,3.78469131959107e-39
"ENSG00000221869",1963.57429862035,1.46707293825446,0.108825623352963,13.4802306051882,2.0446677772853e-41,4.39086246534134e-39
"ENSG00000147027",12593.3295910107,1.14832504044982,0.086084551016708,13.3474801388963,1.22523824515505e-40,2.59983886686234e-38
"ENSG00000169715",554.194641254197,2.11084851749932,0.15874367274874,13.3279826733945,1.59143019527472e-40,3.33713550595019e-38
"ENSG00000145390",8442.05371962528,2.07298729639205,0.154575074852177,13.265882258688,3.65098509921813e-40,7.56687888470512e-38
"ENSG00000185950",1974.88307917017,2.03351192771391,0.153303224414338,13.2406485431903,5.1105601973801e-40,1.04701867767934e-37
"ENSG00000013293",244.497326184804,-2.64027704527343,0.199356721215637,-13.1858346123906,1.0587572783215e-39,2.14446474190937e-37
"ENSG00000131831",1017.17597249954,1.38626156112963,0.105622513326564,13.1629626245147,1.4335260359156e-39,2.87091776001794e-37
"ENSG00000020577",3105.00555637675,1.18527874679063,0.0909604599405237,13.0287460439742,8.39763944554237e-39,1.66310583863719e-36
"ENSG00000146122",1942.41443351691,1.62976932509258,0.125288701976258,13.0270972371372,8.58105000739535e-39,1.68075423441555e-36
"ENSG00000137672",655.449436784439,1.87795771173446,0.144136475154015,13.0188988842778,9.55386450457591e-39,1.85095740140827e-36
"ENSG00000138735",6850.26951693182,-1.16117013347002,0.0895248866883828,-12.9748967422597,1.6982505386926e-38,3.25479759157601e-36
"ENSG00000163110",1314.18432532042,1.56079840749259,0.120628242177435,12.9483523481675,2.4005102877141e-38,4.55177610300172e-36
"ENSG00000119138",1683.2682077277,1.99246453246514,0.153697813474866,12.9459302785401,2.4774383869233e-38,4.64819597984431e-36
"ENSG00000071282",3659.86884296353,1.56048170641753,0.121425229452113,12.8592098400722,7.63531676796402e-38,1.41762381325199e-35
"ENSG00000101825",4767.14944686345,-1.30013499459698,0.101276438360975,-12.8246819501732,1.19275010043484e-37,2.16934467246434e-35
